type,format,identifier,references,title,description,source,audience,created,creator,contributor,publisher,license,rightsHolder
4979145973,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-21065/,,,,,,,,,,
4979128669,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-13209/,,,,,,,,,,
4979128635,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-13210/,,,,,,,,,,
4979128634,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-13211/,,,,,,,,,,
4979121446,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-281/,,,,,,,,,,
4979121444,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-280/,,,,,,,,,,
4979121443,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-279/,,,,,,,,,,
4979121442,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-278/,,,,,,,,,,
4979121441,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-275/,,,,,,,,,,
4979121440,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-274/,,,,,,,,,,
4979121439,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-277/,,,,,,,,,,
4979121438,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-276/,,,,,,,,,,
4979121437,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-271/,,,,,,,,,,
4979121435,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-273/,,,,,,,,,,
4979105281,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-18911/,,,,,,,,,,
4979104951,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-4333/,,,,,,,,,,
4979104907,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-4322/,,,,,,,,,,
4916377108,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/RME_B3-1b+1510856815.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU032-12,FSWPU032-12 Dorsal,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4916377108,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/RME_B3-1c+1510856872.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU032-12,FSWPU032-12 Lateral,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4916377108,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/RME_B3-1a+1510856770.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU032-12,FSWPU032-12 Ventral,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4916277037,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMNF_B2-3a+1511304521.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU018-12,FSWPU018-12 Dorsal,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4916277037,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMNF_B2-3b+1511304575.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU018-12,FSWPU018-12 Lateral,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4916261191,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMFF_B2-1a+1510781924.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU022-12,FSWPU022-12 Ventral,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4916261191,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMFF_B2-1c+1510782023.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU022-12,FSWPU022-12 Lateral,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4916261191,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/PMFF_B2-1b+1510781978.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU022-12,FSWPU022-12 Dorsal,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4916174531,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/RME_B3-2a+1510857588.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU033-12,FSWPU033-12 Ventral,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4916174531,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/RME_B3-2c+1510857679.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU033-12,FSWPU033-12 Lateral,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
4916174531,StillImage,image/jpeg,http://www.boldsystems.org/pics/FSWPU/RME_B3-2b+1510857634.jpg,http://bins.boldsystems.org/index.php/Public_RecordView?processid=FSWPU033-12,FSWPU033-12 Dorsal,,,,,,,,http://creativecommons.org/licenses/by-nc-sa/4.0/,
